排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
51,5,77.71944498923698,0.004700749781494035,6997810.195002629,183589.47042537198,23.33896078794974,1023,13995.620390005259,1023.7759528741102,21.66689361758845,0.0028336329184580557,1.8671168630359793,2404.344712137823,T2 紫铜,0.04972596125651537,0.058740168810665155,0.5415530984122263
52,5,77.61175382324629,0.004665705939626316,6996871.178161409,182549.65686283447,22.94999270094039,1023,13993.742356322817,1023.9282906870721,21.673694755036777,0.002829706523551085,1.835999416075231,2389.053336218154,T2 紫铜,0.050057253921137045,0.05858789516936277,0.5392591906755074
53,5,87.84194132808965,0.004975495923020601,7084811.76038071,191738.80185235574,22.159989230159383,1022,14169.623520761419,1022.58203564566,21.036716714499168,0.00320269678460785,1.7727991384127506,2524.1878213581726,T2 紫铜,0.05186093050903031,0.06002104579149717,0.5364675149308583
54,5,73.81098626794484,0.0044957533098056324,6963549.340037844,177505.67945522175,22.557773610152857,1024,13927.09868007569,1024.6672582429778,21.91503419497718,0.002691131420993404,1.8046218888122285,2314.877197870908,T2 紫铜,0.0500472474717134,0.05784885189098921,0.5361533200243412
55,0,16.26086807361216,0.004,6204685.855388904,34143.78862433361,21.726104380691336,1026,12409.371710777808,1026.8244686808027,25.879598437917622,0.0007410843428962997,3.2589156571037003,638.6253920151643,6061 铝合金,0.050153761718319964,0.05784075093973511,0.5355897213303541
56,5,74.81277049938255,0.004429976922002525,6972366.260468093,175552.99562651184,21.27900850671743,1024,13944.732520936186,1024.953336050182,21.851176941742985,0.0027276562414651306,1.7023206805373945,2286.1612592134093,T2 紫铜,0.05132572905718817,0.057629256445753334,0.5289272095235834
57,5,90.16808444287807,0.004868322555600177,7104451.6302246945,188560.50641671004,19.760189164243087,1023,14208.90326044939,1023.0476715952739,20.894447158026168,0.0032875074224607303,1.580815133139447,2477.4481825986772,T2 紫铜,0.054293969674232764,0.05976017642222056,0.5239632092960703
58,4,100.0,0.007843888066764648,6282058.368380295,37327.682126699045,19.080447081503834,1010,12564.11673676059,1010.1620094692447,20.30362060856164,0.0021197539423134975,5.72413412445115,3314.163870519046,AISI 1040 碳钢,0.05229362522243712,0.05750732020532401,0.5237415760063606
59,0,32.864058533964105,0.004022188621987833,6364654.585264833,34208.71529854086,16.829457951835376,1026,12729.309170529665,1026.727865500606,24.6760796425213,0.001497769929212527,2.5244186927753063,641.5766044791301,6061 铝合金,0.05410238525226579,0.05868714978643739,0.5203244234165801
60,0,47.334306086219684,0.004074231871530017,6498845.398638868,34360.98746483361,12.77989739981234,1026,12997.690797277735,1026.5013026017828,23.666685049705777,0.002157247261558166,1.9169846099718508,648.4980665833463,6061 铝合金,0.058097185465486284,0.06031578592075827,0.509368063436375
61,5,71.88272678947246,0.004,6946509.529776754,162781.1890159596,17.23965589831092,1026,13893.019059553508,1026.8244686808027,22.038444737828183,0.0026208275281351264,1.3791724718648737,2098.3405737641115,T2 紫铜,0.05515670570769471,0.05641993268616396,0.505660804074461
62,5,84.07652873711753,0.004332757741409693,7052740.2832767,172666.34302810146,15.84183781961529,1025,14105.4805665534,1025.3762448864065,21.269029286950925,0.0030654107158404695,1.2673470255692232,2243.7104857073746,T2 紫铜,0.05758784892436973,0.0581947963464983,0.5026210638939396
63,0,52.777913295956225,0.004,6548062.780826293,34143.78862433361,10.631079465413748,1026,13096.125561652585,1026.8244686808027,23.296483945902942,0.002405338080187938,1.5946619198120622,638.6253920151643,6061 铝合金,0.060633327641097114,0.061126389787835224,0.5020247342764486
